Index,X,Y,Name,Line
,127.127491056814,37.4507972554616,busStart - 반도체대학,STOP
,127.12750240897,37.4504914135063,busPoint - semi1,SEMI
,127.129195874902,37.4500460536727,busPoint - semi2,SEMI
,127.129573740044,37.4499225374574,busPoint - semi3,SEMI
,127.129885484746,37.4498510945562,busPoint - semi4,SEMI
,127.130247657788,37.4506613228308,busPoint - semi5,SEMI
,127.130271723004,37.4508087882133,busPoint - semi6,SEMI
,127.130367114951,37.4509540883736,busPoint - semi7,SEMI
,127.13079219608,37.4511419275692,busPoint - semi8,SEMI
,127.130875653336,37.4512071750737,busPoint - semi9,SEMI
,127.131402691937,37.4521461619349,busPoint - semi10,SEMI
,127.131519620494,37.4522320124254,busStop - 교육대학원,STOP
,127.131879153365,37.4523425710816,busPoint - edu1,EDU
,127.13207746614,37.452440706256,busPoint - edu2,EDU
,127.132865746028,37.4527433510794,busPoint - edu3,EDU
,127.133664441114,37.4530599656135,busPoint - edu4,EDU
,127.134144932669,37.4534475536464,busPoint - edu5,EDU
,127.134428947028,37.4535506893513,busStop - 학생회관,STOP
,127.134724476808,37.4537524028605,busPoint - council1,COUNCIL
,127.134814470299,37.4539048360101,busPoint - council2,COUNCIL
,127.134827982501,37.4541965478333,busPoint - council3,COUNCIL
,127.134681826121,37.4555817183841,busPoint - council4,COUNCIL
,127.134639704754,37.4555755910172,busPoint - council5,COUNCIL
,127.134649885865,37.4554659823688,busStop - AI공학관,STOP
